x,y,u,v,p
5.87500000e+00,3.75000000e-02,2.18963694e-01,3.06531288e-05,1.22151426e-02
5.92500000e+00,3.75000000e-02,2.18891592e-01,3.64299196e-05,6.09457544e-03
5.97500000e+00,3.75000000e-02,2.18854081e-01,5.05340231e-05,0.00000000e+00
2.50000000e-02,6.25000000e-02,1.03542764e+00,1.35578905e-01,1.26749589e+00
7.50000000e-02,6.25000000e-02,1.06576835e+00,1.74687832e-01,1.26749589e+00
1.25000000e-01,6.25000000e-02,1.02908020e+00,1.45356176e-01,1.12004542e+00
1.75000000e-01,6.25000000e-02,9.58069913e-01,1.09014593e-01,1.02564983e+00
2.25000000e-01,6.25000000e-02,8.80921558e-01,8.03165836e-02,9.67091086e-01
2.75000000e-01,6.25000000e-02,8.10408527e-01,5.98942783e-02,9.28062382e-01
3.25000000e-01,6.25000000e-02,7.50257202e-01,4.56035073e-02,8.99487364e-01
3.75000000e-01,6.25000000e-02,7.00297841e-01,3.54722990e-02,8.76833359e-01
4.25000000e-01,6.25000000e-02,6.59099053e-01,2.81329146e-02,8.57782674e-01
4.75000000e-01,6.25000000e-02,6.25055374e-01,2.26968808e-02,8.41065204e-01
5.25000000e-01,6.25000000e-02,5.96749547e-01,1.85889844e-02,8.25934749e-01
5.75000000e-01,6.25000000e-02,5.73027341e-01,1.54300974e-02,8.11928222e-01
6.25000000e-01,6.25000000e-02,5.52976318e-01,1.29641860e-02,7.98746348e-01
6.75000000e-01,6.25000000e-02,5.35881645e-01,1.10139737e-02,7.86189755e-01
7.25000000e-01,6.25000000e-02,5.21183279e-01,9.45380615e-03,7.74122412e-01
7.75000000e-01,6.25000000e-02,5.08440720e-01,8.19273493e-03,7.62449667e-01
8.25000000e-01,6.25000000e-02,4.97305608e-01,7.16372330e-03,7.51104472e-01
8.75000000e-01,6.25000000e-02,4.87500842e-01,6.31658108e-03,7.40038552e-01
9.25000000e-01,6.25000000e-02,4.78804713e-01,5.61323656e-03,7.29216493e-01
9.75000000e-01,6.25000000e-02,4.71038831e-01,5.02448423e-03,7.18611863e-01
1.02500000e+00,6.25000000e-02,4.64058880e-01,4.52771381e-03,7.08204457e-01
1.07500000e+00,6.25000000e-02,4.57747482e-01,4.10527637e-03,6.97978501e-01
1.12500000e+00,6.25000000e-02,4.52008668e-01,3.74330106e-03,6.87921333e-01
1.17500000e+00,6.25000000e-02,4.46763559e-01,3.43082148e-03,6.78022514e-01
1.22500000e+00,6.25000000e-02,4.41946978e-01,3.15911734e-03,6.68273231e-01
1.27500000e+00,6.25000000e-02,4.37504778e-01,2.92121765e-03,6.58665810e-01
1.32500000e+00,6.25000000e-02,4.33391726e-01,2.71152221e-03,6.49193475e-01
1.37500000e+00,6.25000000e-02,4.29569825e-01,2.52551067e-03,6.39850078e-01
1.42500000e+00,6.25000000e-02,4.26006971e-01,2.35951609e-03,6.30629992e-01
1.47500000e+00,6.25000000e-02,4.22675886e-01,2.21054607e-03,6.21527992e-01
1.52500000e+00,6.25000000e-02,4.19553254e-01,2.07614799e-03,6.12539170e-01
1.57500000e+00,6.25000000e-02,4.16619029e-01,1.95430493e-03,6.03658924e-01
1.62500000e+00,6.25000000e-02,4.13855881e-01,1.84333923e-03,5.94882876e-01
1.67500000e+00,6.25000000e-02,4.11248741e-01,1.74185866e-03,5.86206882e-01
1.72500000e+00,6.25000000e-02,4.08784435e-01,1.64869489e-03,5.77626985e-01
1.77500000e+00,6.25000000e-02,4.06451383e-01,1.56286090e-03,5.69139423e-01
1.82500000e+00,6.25000000e-02,4.04239355e-01,1.48352618e-03,5.60740607e-01
1.87500000e+00,6.25000000e-02,4.02139270e-01,1.40997481e-03,5.52427100e-01
1.92500000e+00,6.25000000e-02,4.00143030e-01,1.34159969e-03,5.44195640e-01
1.97500000e+00,6.25000000e-02,3.98243383e-01,1.27787530e-03,5.36043084e-01
2.02500000e+00,6.25000000e-02,3.96433800e-01,1.21834312e-03,5.27966452e-01
2.07500000e+00,6.25000000e-02,3.94708390e-01,1.16261069e-03,5.19962884e-01
2.12500000e+00,6.25000000e-02,3.93061814e-01,1.11032756e-03,5.12029649e-01
2.17500000e+00,6.25000000e-02,3.91489216e-01,1.06119155e-03,5.04164136e-01
2.22500000e+00,6.25000000e-02,3.89986167e-01,1.01493142e-03,4.96363844e-01
2.27500000e+00,6.25000000e-02,3.88548614e-01,9.71308710e-04,4.88626381e-01
2.32500000e+00,6.25000000e-02,3.87172838e-01,9.30113462e-04,4.80949459e-01
2.37500000e+00,6.25000000e-02,3.85855420e-01,8.91151149e-04,4.73330881e-01
2.42500000e+00,6.25000000e-02,3.84593200e-01,8.54256352e-04,4.65768546e-01
2.47500000e+00,6.25000000e-02,3.83383262e-01,8.19275565e-04,4.58260438e-01
2.52500000e+00,6.25000000e-02,3.82222903e-01,7.86068598e-04,4.50804629e-01
2.57500000e+00,6.25000000e-02,3.81109612e-01,7.54518936e-04,4.43399256e-01
2.62500000e+00,6.25000000e-02,3.80041055e-01,7.24505999e-04,4.36042543e-01
2.67500000e+00,6.25000000e-02,3.79015051e-01,6.95931664e-04,4.28732770e-01
2.72500000e+00,6.25000000e-02,3.78029566e-01,6.68703354e-04,4.21468302e-01
2.77500000e+00,6.25000000e-02,3.77082697e-01,6.42729604e-04,4.14247552e-01
2.82500000e+00,6.25000000e-02,3.76172657e-01,6.17941130e-04,4.07068999e-01
2.87500000e+00,6.25000000e-02,3.75297774e-01,5.94262424e-04,3.99931189e-01
2.92500000e+00,6.25000000e-02,3.74456474e-01,5.71626714e-04,3.92832700e-01
2.97500000e+00,6.25000000e-02,3.73647275e-01,5.49981060e-04,3.85772189e-01
3.02500000e+00,6.25000000e-02,3.72868782e-01,5.29265631e-04,3.78748333e-01
3.07500000e+00,6.25000000e-02,3.72119672e-01,5.09425856e-04,3.71759883e-01
3.12500000e+00,6.25000000e-02,3.71398701e-01,4.90420285e-04,3.64805622e-01
3.17500000e+00,6.25000000e-02,3.70704685e-01,4.72201203e-04,3.57884372e-01
3.22500000e+00,6.25000000e-02,3.70036508e-01,4.54727493e-04,3.50995026e-01
3.27500000e+00,6.25000000e-02,3.69393113e-01,4.37966843e-04,3.44136471e-01
3.32500000e+00,6.25000000e-02,3.68773488e-01,4.21875071e-04,3.37307668e-01
3.37500000e+00,6.25000000e-02,3.68176676e-01,4.06426869e-04,3.30507598e-01
3.42500000e+00,6.25000000e-02,3.67601767e-01,3.91592375e-04,3.23735284e-01
